name,logo_url,website_url,visible,featured,order
Stella Artois,https://javotecocina.com/img/logo-stella.svg,,si,,1
Hellmann's,https://javotecocina.com/img/logo-hellmanns.svg,,si,,2
Lay's,https://javotecocina.com/img/logo-lays.svg,,si,,3
Pepsi,https://javotecocina.com/img/logo-pepsi.svg,,si,,4
Rappi,https://javotecocina.com/img/logo-rappi.svg,,si,,5
Keveri,https://javotecocina.com/img/logo-keveri.avif,,si,,6
Legión Extranjera,https://javotecocina.com/img/logo-legion-extranjera.png,,si,,7
La Francisca,https://javotecocina.com/img/logo-la-francisca.svg,,si,,8
Salvita,https://javotecocina.com/img/logo-salvita.png,,si,,9
Quento Snacks,https://javotecocina.com/img/logo-quento-snacks.svg,,si,,10
